Year,Land_Annual,Lowess(5),Ocean_Annual,Lowess(5)
1880,-0.60,-0.49,-0.05,0.01
1881,-0.43,-0.53,0.01,-0.02
1882,-0.45,-0.56,0.00,-0.06
1883,-0.60,-0.60,-0.06,-0.09
1884,-0.80,-0.63,-0.15,-0.12
1885,-0.69,-0.66,-0.21,-0.15
1886,-0.69,-0.66,-0.21,-0.16
1887,-0.69,-0.64,-0.24,-0.16
1888,-0.62,-0.61,-0.05,-0.16
1889,-0.32,-0.58,-0.04,-0.16
1890,-0.61,-0.55,-0.29,-0.16
1891,-0.52,-0.52,-0.13,-0.17
1892,-0.49,-0.50,-0.18,-0.18
1893,-0.55,-0.47,-0.23,-0.18
1894,-0.42,-0.44,-0.26,-0.16
1895,-0.41,-0.40,-0.14,-0.15
1896,-0.37,-0.35,0.00,-0.14
1897,-0.24,-0.30,-0.05,-0.13
1898,-0.38,-0.25,-0.23,-0.13
1899,-0.17,-0.22,-0.16,-0.15
1900,-0.08,-0.22,-0.07,-0.19
1901,-0.06,-0.23,-0.18,-0.23
1902,-0.32,-0.25,-0.26,-0.26
1903,-0.30,-0.28,-0.41,-0.29
1904,-0.46,-0.31,-0.51,-0.31
1905,-0.30,-0.34,-0.28,-0.34
1906,-0.10,-0.35,-0.26,-0.36
1907,-0.56,-0.34,-0.32,-0.38
1908,-0.35,-0.34,-0.47,-0.41
1909,-0.34,-0.35,-0.52,-0.42
1910,-0.29,-0.35,-0.49,-0.43
1911,-0.36,-0.32,-0.47,-0.41
1912,-0.44,-0.29,-0.31,-0.37
1913,-0.29,-0.27,-0.37,-0.33
1914,0.01,-0.28,-0.21,-0.30
1915,-0.01,-0.29,-0.14,-0.29
1916,-0.34,-0.28,-0.33,-0.27
1917,-0.58,-0.28,-0.38,-0.27
1918,-0.40,-0.29,-0.22,-0.27
1919,-0.24,-0.26,-0.27,-0.28
1920,-0.23,-0.22,-0.26,-0.27
1921,0.02,-0.17,-0.24,-0.27
1922,-0.17,-0.12,-0.30,-0.27
1923,-0.11,-0.08,-0.30,-0.27
1924,-0.09,-0.05,-0.30,-0.26
1925,-0.00,-0.03,-0.26,-0.26
1926,0.16,-0.01,-0.17,-0.26
1927,-0.06,0.01,-0.23,-0.25
1928,0.05,0.02,-0.28,-0.24
1929,-0.35,0.03,-0.33,-0.24
1930,0.06,0.02,-0.19,-0.24
1931,0.09,0.02,-0.16,-0.24
1932,0.08,0.01,-0.24,-0.23
1933,-0.27,-0.01,-0.29,-0.22
1934,0.05,-0.02,-0.22,-0.22
1935,-0.11,-0.01,-0.23,-0.20
1936,-0.05,0.01,-0.19,-0.18
1937,0.03,0.04,-0.09,-0.13
1938,0.21,0.07,-0.17,-0.08
1939,0.14,0.10,-0.09,-0.03
1940,0.08,0.11,0.11,0.01
1941,0.12,0.11,0.25,0.05
1942,0.08,0.10,0.05,0.08
1943,0.09,0.09,0.03,0.08
1944,0.22,0.08,0.21,0.05
1945,-0.08,0.08,0.19,0.01
1946,0.04,0.07,-0.10,-0.03
1947,0.13,0.04,-0.13,-0.07
1948,0.10,0.01,-0.17,-0.10
1949,-0.02,0.00,-0.13,-0.11
1950,-0.28,-0.01,-0.14,-0.09
1951,-0.05,-0.03,-0.05,-0.08
1952,-0.01,-0.04,0.02,-0.08
1953,0.23,-0.05,0.01,-0.08
1954,-0.12,-0.04,-0.17,-0.08
1955,-0.06,-0.02,-0.19,-0.07
1956,-0.40,-0.02,-0.14,-0.06
1957,0.01,-0.01,0.05,-0.04
1958,0.12,0.01,0.07,-0.01
1959,0.05,0.04,0.01,0.01
1960,-0.08,0.06,0.00,0.02
1961,0.14,0.05,0.03,0.01
1962,0.08,0.03,0.02,-0.01
1963,0.19,0.01,0.03,-0.03
1964,-0.27,-0.01,-0.13,-0.04
1965,-0.13,-0.03,-0.09,-0.05
1966,-0.03,-0.06,-0.04,-0.05
1967,0.02,-0.07,-0.06,-0.03
1968,-0.13,-0.06,-0.04,-0.02
1969,-0.10,-0.05,0.14,-0.00
1970,0.04,-0.05,0.02,0.01
1971,-0.06,-0.05,-0.12,0.02
1972,-0.13,-0.03,0.08,0.01
1973,0.30,-0.02,0.10,-0.00
1974,-0.15,-0.00,-0.07,0.00
1975,0.12,0.02,-0.09,0.02
1976,-0.28,0.05,-0.03,0.04
1977,0.21,0.09,0.14,0.07
1978,0.05,0.14,0.08,0.11
1979,0.10,0.18,0.21,0.15
1980,0.35,0.21,0.23,0.18
1981,0.54,0.22,0.18,0.19
1982,0.05,0.22,0.19,0.19
1983,0.42,0.23,0.26,0.19
1984,0.11,0.23,0.16,0.19
1985,0.06,0.25,0.12,0.20
1986,0.25,0.30,0.16,0.21
1987,0.40,0.36,0.32,0.23
1988,0.63,0.42,0.27,0.25
1989,0.38,0.46,0.22,0.26
1990,0.63,0.46,0.33,0.27
1991,0.59,0.46,0.29,0.26
1992,0.24,0.46,0.22,0.26
1993,0.24,0.46,0.22,0.26
1994,0.45,0.47,0.24,0.26
1995,0.73,0.50,0.28,0.28
1996,0.42,0.57,0.24,0.30
1997,0.60,0.62,0.39,0.30
1998,0.94,0.66,0.44,0.32
1999,0.72,0.71,0.23,0.34
2000,0.62,0.76,0.25,0.35
2001,0.80,0.80,0.38,0.36
